committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799060,23,SB23.1166793,1098663,CAN,CANDIDATE,,"TRUMP, DONALD J.",NY,,,,IN-KIND: RENT (SEE MEMOS BELOW),,,2016-06-01 00:00:00,15000.00,P,PRESIDENT,00,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.627,,,,0.00,F3P,4091320161317007177,NEW YORK,10022,ADMINISTRATIVE,,2016,SB,4091320161317022910,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799060
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799060,23,SB23.1166793.0,1098663,ORG,ORGANIZATION,,TRUMP PLAZA LLC,NY,,,,RENT,X,,2016-06-01 00:00:00,9000.00,,,,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.627,,SB23.1166793,SB23,0.00,F3P,4091320161317007177,NEW YORK,10022,ADMINISTRATIVE,,2016,SB,4091320161317022912,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799060
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799060,23,SB23.1166793.1,1098663,ORG,ORGANIZATION,,TRUMP CPS LLC,NY,,,,RENT,X,,2016-06-01 00:00:00,6000.00,,,,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.627,,SB23.1166793,SB23,0.00,F3P,4091320161317007177,NEW YORK,10022,ADMINISTRATIVE,,2016,SB,4091320161317022914,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799060
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799061,23,SB23.1166794,1098663,CAN,CANDIDATE,,"TRUMP, DONALD J.",NY,,,,IN-KIND: PAYROLL (SEE MEMOS BELOW),,,2016-06-02 00:00:00,2574.43,P,PRESIDENT,00,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.627,,,,0.00,F3P,4091320161317007177,NEW YORK,10022,OTHER,,2016,SB,4091320161317022916,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799061
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799061,23,SB23.1166794.0,1098663,ORG,ORGANIZATION,,TRUMP TOWER COMMERCIAL LLC,NY,,,,PAYROLL,X,,2016-06-02 00:00:00,2574.43,,,,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.627,,SB23.1166794,SB23,0.00,F3P,4091320161317007177,HICKSVILLE,11802,OTHER,,2016,SB,4091320161317022918,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799061
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799062,23,SB23.1166795,1098663,CAN,CANDIDATE,,"TRUMP, DONALD J.",NY,,,,IN-KIND: PAYROLL (SEE MEMOS BELOW),,,2016-06-09 00:00:00,2574.43,P,PRESIDENT,00,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.627,,,,0.00,F3P,4091320161317007177,NEW YORK,10022,OTHER,,2016,SB,4091320161317022922,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799062
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799062,23,SB23.1166795.0,1098663,ORG,ORGANIZATION,,TRUMP TOWER COMMERCIAL LLC,NY,,,,PAYROLL,X,,2016-06-09 00:00:00,2574.43,,,,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.627,,SB23.1166795,SB23,0.00,F3P,4091320161317007177,HICKSVILLE,11802,OTHER,,2016,SB,4091320161317022924,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799062
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799063,23,SB23.1166791,1098663,CAN,CANDIDATE,,"TRUMP, DONALD J.",NY,,,,IN-KIND: PAYROLL (SEE MEMOS BELOW),,,2016-06-11 00:00:00,9651.47,P,PRESIDENT,00,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.629,,,,0.00,F3P,4091320161317007177,NEW YORK,10022,OTHER,,2016,SB,4091320161317022928,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799063
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799063,23,SB23.1166791.0,1098663,ORG,ORGANIZATION,,TRUMP PAYROLL CORP,NY,,,,PAYROLL,X,,2016-06-11 00:00:00,9651.47,,,,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.629,,SB23.1166791,SB23,0.00,F3P,4091320161317007177,NEW YORK,10022,OTHER,,2016,SB,4091320161317022930,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799063
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799065,23,SB23.1163608,1098663,IND,INDIVIDUAL,,"TRUMP, DONALD JR.",NY,,,,TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED,,,2016-06-16 00:00:00,7064.82,,,,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.629,,,,0.00,F3P,4091320161317007177,NEW YORK,10022,MATERIALS,,2016,SB,4091320161317022942,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799065
